Month,2022,2023,2024,2025,2026
Jan,9230,10231,11546,12412,19815
Feb,5707,7937,7384,9251,15973
Mar,10286,9996,12844,16789,21715
Apr,9631,10865,13803,16299,23871
May,8857,12202,17419,17269,1596
Jun,8548,13251,14010,16855,0
Jul,8430,10762,14132,16827,0
Aug,7508,11034,11137,17059,0
Sep,7824,11142,11955,21890,0
Oct,7923,11281,10001,15409,0
Nov,5468,8890,9539,12365,0
Dec,9645,6424,8130,14081,0
